R,G,B,Label
0.21165450980392156,0.14158627450980393,0.14570196078431374,eksim
0.31004588235294117,0.2114972549019608,0.21516549019607842,eksim
0.33363529411764703,0.2387513725490196,0.20263058823529412,eksim
0.5933619607843137,0.306241568627451,0.3008972549019608,eksim
0.43909176470588235,0.25173725490196075,0.25929529411764707,eksim
0.4235435294117647,0.24376745098039215,0.19889490196078433,eksim
0.6263101960784314,0.5078956862745098,0.4149509803921569,eksim
0.46158313725490197,0.2839078431372549,0.2735035294117647,eksim
0.43253607843137254,0.34881568627450976,0.3229078431372549,eksim
0.4872101960784314,0.39653411764705887,0.3708180392156863,eksim
0.5203035294117647,0.3952392156862745,0.34318627450980393,eksim
0.23326039215686276,0.16153686274509801,0.14932313725490196,eksim
0.3848976470588235,0.27410549019607844,0.2443164705882353,eksim
0.3915192156862745,0.3085498039215686,0.28010705882352943,eksim
0.5506807843137255,0.4310274509803922,0.424403137254902,eksim
0.7073501960784314,0.583990588235294,0.5210709803921568,eksim
0.4653721568627451,0.3214945098039216,0.2825988235294118,eksim
0.31733176470588237,0.19890980392156862,0.1924149019607843,eksim
0.524278431372549,0.37616941176470586,0.3830772549019608,eksim
0.559358431372549,0.4096941176470588,0.3613243137254902,eksim
0.7031062745098039,0.3712839215686275,0.3569874509803922,eksim
0.5932290196078431,0.3161964705882353,0.2487505882352941,eksim
0.6001325490196079,0.34091215686274506,0.22611607843137255,eksim
0.544461568627451,0.34002078431372545,0.25213098039215687,eksim
0.637096862745098,0.3736270588235294,0.25918980392156865,eksim
0.5551403921568627,0.37930039215686273,0.3666505882352941,eksim
0.4379141176470588,0.26556117647058824,0.24222000000000002,eksim
0.5954992156862746,0.4908654901960784,0.42821921568627447,eksim
0.6308411764705882,0.48938,0.36701960784313725,eksim
0.6024898039215686,0.4654776470588235,0.3756996078431372,eksim
0.527321568627451,0.3835262745098039,0.33985176470588235,eksim
0.5343505882352941,0.38731058823529413,0.4069847058823529,eksim
0.740756862745098,0.5501913725490196,0.46732980392156864,eksim
0.47761882352941176,0.37213098039215686,0.3268003921568628,eksim
0.4558698039215686,0.3418776470588235,0.29898745098039214,eksim
0.4519678431372549,0.3384552941176471,0.28764862745098035,eksim
0.41314666666666666,0.2892517647058824,0.29053529411764706,eksim
0.393421568627451,0.26453098039215683,0.2697294117647059,eksim
0.3420890196078431,0.24260156862745097,0.19572313725490195,eksim
0.21515921568627452,0.14650823529411766,0.13700039215686274,eksim
